,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_order,iv_stim,mean_signal
0,46,4,vicarious,-1,low_cue,med_stim,2,0,med_stim,0.4078762074717077
1,46,4,vicarious,-1,high_cue,low_stim,4,1,low_stim,0.12357202190075223
2,46,4,vicarious,-1,high_cue,high_stim,6,2,high_stim,-0.41280744721487084
3,46,4,vicarious,-1,low_cue,med_stim,2,3,med_stim,-0.773973069243597
4,46,4,vicarious,-1,high_cue,low_stim,4,4,low_stim,-0.948233820869771
5,46,4,vicarious,-1,low_cue,high_stim,3,5,high_stim,-1.3566488447486835
6,46,4,vicarious,-1,low_cue,low_stim,1,6,low_stim,1.1771573635490156
7,46,4,vicarious,-1,high_cue,med_stim,5,7,med_stim,0.1285359385094229
8,46,4,vicarious,-1,low_cue,high_stim,3,8,high_stim,-0.10311830395685147
9,46,4,vicarious,-1,high_cue,med_stim,5,9,med_stim,0.7793285641661005
10,46,4,vicarious,-1,low_cue,low_stim,1,10,low_stim,-0.01852076083257998
11,46,4,vicarious,-1,high_cue,high_stim,6,11,high_stim,-0.8263338440735987
