param_fmriSession,param_runNum,param_counterbalanceVer,param_counterbalanceBlockNum,param_cue_type,param_administer_type,param_cond_type,param_triggerOnset,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration
1,3,3,1,low,48,1,15219.8026794083,15222.6641539281,4.01255721172129,15226.7089603365,low,l019.png,15227.7283180098,2.23323236472061,15227.75890807,0,0,48,15231.9307242979,15239.4324618816,1.96659421446384,15239.458229266,15894.9030034314,675.100324023104
1,3,3,1,high,49,4,15219.8026794083,15243.4922750505,1.2158071102549,15244.7245665897,high,h048.png,15245.7338352329,2.34980885094228,15245.7579337593,0,0,49,15249.813690901,15257.3149359285,2.23324802714342,15257.3404832289,15894.9030034314,675.100324023104
1,3,3,1,high,50,6,15219.8026794083,15261.3745360345,3.01580500392811,15264.4067425646,high,h023.png,15265.4159906846,2.43314967793413,15265.4400902912,0,0,50,15269.496236023,15276.9974756497,2.21657132842483,15277.0226397608,15894.9030034314,675.100324023104
1,3,3,1,high,48,2,15219.8026794083,15281.0566744736,3.01584253973306,15284.0889107083,high,h019.png,15285.0980629635,2.93309337422943,15285.1222713968,0,0,48,15289.177740674,15296.6788031533,3.08316827031013,15296.704863263,15894.9030034314,675.100324023104
1,3,3,1,low,50,5,15219.8026794083,15300.7402025475,3.01471241498075,15303.7877728333,low,l047.png,15304.7978178466,3.79973082237666,15304.821114619,0,0,50,15309.180256383,15316.682694455,2.21656592758882,15316.7036656278,15894.9030034314,675.100324023104
1,3,3,1,high,48,2,15219.8026794083,15320.7384742803,3.01498785757212,15323.7699263137,high,h029.png,15324.7786556835,1.84988081707161,15324.8032265129,0,0,48,15328.8582526516,15336.3594325991,2.38327593595932,15336.3691646339,15894.9030034314,675.100324023104
1,3,3,1,low,48,1,15219.8026794083,15340.4029179632,1.31608198575668,15341.7355267745,low,l026.png,15342.7439472166,3.23308573204667,15342.7688850327,0,0,48,15346.8237005388,15354.3248866972,2.0999027579619,15354.3347958795,15894.9030034314,675.100324023104
1,3,3,1,low,50,5,15219.8026794083,15358.3685951159,4.01603048879588,15362.4009709621,low,l046.png,15363.4098950321,1.39998557977015,15363.434249558,0,0,50,15367.4891898234,15374.9901745307,2.23322372338589,15375.0002462781,15894.9030034314,675.100324023104
1,3,3,1,high,49,4,15219.8026794083,15379.0340411938,2.31602851748903,15381.366539288,high,h049.png,15382.374752338,2.69979268894349,15382.399883774,0,0,49,15386.4544430105,15393.9554344688,1.98325525075961,15393.9657805787,15894.9030034314,675.100324023104
1,3,3,1,low,49,3,15219.8026794083,15397.99954741,2.31606011237454,15400.3320941117,low,l017.png,15401.3404211193,1.44987687445973,15401.3654321168,0,0,49,15405.4201906441,15412.9215164141,2.63325142966823,15412.9313224404,15894.9030034314,675.100324023104
1,3,3,1,low,49,3,15219.8026794083,15416.9650995333,1.01614714683274,15417.9977019447,low,l016.png,15419.0059762941,NaN,15419.0309800004,0,0,49,15423.0691433816,15430.5705820291,2.38325946341138,15430.5802916505,15894.9030034314,675.100324023104
1,3,3,1,high,49,4,15219.8026794083,15434.6141651484,3.01599808378342,15437.6465490959,high,h041.png,15438.6555919842,1.43330711228009,15438.6798109492,0,0,49,15442.7348060331,15450.2359141494,1.59994717983318,15450.2458033486,15894.9030034314,675.100324023104
1,3,3,1,high,50,6,15219.8026794083,15454.2795812516,0.916043747844014,15455.2121944916,high,h010.png,15456.220429415,1.299881640698,15456.2455270959,0,0,50,15460.300924812,15467.8019470551,2.54989737063079,15467.8281024895,15894.9030034314,675.100324023104
1,3,3,1,low,49,3,15219.8026794083,15471.8618936246,2.61604625923246,15474.4943778656,low,l001.png,15475.5028153203,1.94991265499448,15475.5277490858,0,0,49,15479.582538668,15487.0837939571,3.28317496734417,15487.0936394095,15894.9030034314,675.100324023104
1,3,3,1,low,49,3,15219.8026794083,15491.127426764,4.01603399933811,15495.1598420364,low,l042.png,15496.1687531443,1.8831964086603,15496.1931646491,0,0,49,15500.2477908559,15507.7490712589,2.33323881871911,15507.7590657743,15894.9030034314,675.100324023104
1,3,3,1,high,50,6,15219.8026794083,15511.7928679812,1.31607523471394,15513.1254408769,high,h053.png,15514.1337762558,2.58321971326404,15514.1587264939,0,0,50,15518.2134499158,15525.7145029436,2.31654537741088,15525.7246986402,15894.9030034314,675.100324023104
1,3,3,1,high,48,2,15219.8026794083,15529.7585254208,4.01601644662333,15533.7909061278,high,h016.png,15534.7997202907,2.38319897405563,15534.8241814832,0,0,48,15538.8789764661,15546.3799873674,1.61659039337246,15546.3901784733,15894.9030034314,675.100324023104
