onset	duration	trial_type	sub	ses	run	runtype	eventtype	trialnum	cuetype	stimtype	expectrating	outcomerating	singletrial_fname
10.593250036239624	1.0	cue	sub-0006	ses-03	run-02	pain	cue	0	low_cue	low_stim	54.6496501050374		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-000_cuetype-low.nii.gz
35.70262002944946	1.0	cue	sub-0006	ses-03	run-02	pain	cue	1	low_cue	med_stim	30.8849453307286		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-001_cuetype-low.nii.gz
61.29549980163574	1.0	cue	sub-0006	ses-03	run-02	pain	cue	2	low_cue	low_stim	84.7014349301001		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-002_cuetype-low.nii.gz
91.29000997543336	1.0	cue	sub-0006	ses-03	run-02	pain	cue	3	low_cue	high_stim	74.8459319496874		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-003_cuetype-low.nii.gz
120.00072002410889	1.0	cue	sub-0006	ses-03	run-02	pain	cue	4	high_cue	med_stim	143.834523165536		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-004_cuetype-high.nii.gz
153.8966999053955	1.0	cue	sub-0006	ses-03	run-02	pain	cue	5	high_cue	high_stim	109.246031801488		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-005_cuetype-high.nii.gz
194.19506001472473	1.0	cue	sub-0006	ses-03	run-02	pain	cue	6	high_cue	med_stim	100.784297867563		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-006_cuetype-high.nii.gz
219.2043800354004	1.0	cue	sub-0006	ses-03	run-02	pain	cue	7	high_cue	low_stim	76.7462843735046		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-007_cuetype-high.nii.gz
251.399719953537	1.0	cue	sub-0006	ses-03	run-02	pain	cue	8	high_cue	low_stim	58.5594518705341		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-008_cuetype-high.nii.gz
285.79587984085083	1.0	cue	sub-0006	ses-03	run-02	pain	cue	9	high_cue	high_stim	75.3890939617746		sub-0006_ses-03_run-02_runtype-pain_event-cue_trial-009_cuetype-high.nii.gz
