,index,nifti_name,sub,ses,run,task,ev,num,onset,dur,mod,regressor,cue_type,stim_type,expect_rating,actual_rating,cue_con,stim_lin,stim_quad
0,0,sub-0079_ses-01_run-01-vicarious_ev-cue-0000,79,1,1,vicarious,cue,0,3.891849994659424,1,1,True,high_cue,low_stim,29.973948660236047,12.030596096537868,1,-1,1
1,1,sub-0079_ses-01_run-01-vicarious_ev-cue-0001,79,1,1,vicarious,cue,1,33.586819887161255,1,1,True,low_cue,med_stim,29.973948660236047,12.030596096537868,1,-1,1
2,2,sub-0079_ses-01_run-01-vicarious_ev-cue-0002,79,1,1,vicarious,cue,2,65.08249998092651,1,1,True,high_cue,low_stim,14.649904105812965,12.753300254575704,-1,0,-2
3,3,sub-0079_ses-01_run-01-vicarious_ev-cue-0003,79,1,1,vicarious,cue,3,87.49127006530762,1,1,True,low_cue,med_stim,14.649904105812965,12.753300254575704,-1,0,-2
4,4,sub-0079_ses-01_run-01-vicarious_ev-cue-0004,79,1,1,vicarious,cue,4,124.28903007507324,1,1,True,high_cue,high_stim,46.46048251184365,26.667731675599,1,-1,1
5,5,sub-0079_ses-01_run-01-vicarious_ev-cue-0005,79,1,1,vicarious,cue,5,150.38258004188538,1,1,True,low_cue,low_stim,46.46048251184365,26.667731675599,1,-1,1
6,6,sub-0079_ses-01_run-01-vicarious_ev-cue-0006,79,1,1,vicarious,cue,6,183.47888016700745,1,1,True,low_cue,high_stim,4.363511391661926,7.125016348901798,-1,0,-2
7,7,sub-0079_ses-01_run-01-vicarious_ev-cue-0007,79,1,1,vicarious,cue,7,223.37785005569458,1,1,True,low_cue,low_stim,4.363511391661926,7.125016348901798,-1,0,-2
8,8,sub-0079_ses-01_run-01-vicarious_ev-cue-0008,79,1,1,vicarious,cue,8,259.2752501964569,1,1,True,high_cue,high_stim,44.18849931628812,18.070012487191367,1,1,1
9,9,sub-0079_ses-01_run-01-vicarious_ev-cue-0009,79,1,1,vicarious,cue,9,294.0888900756836,1,1,True,low_cue,high_stim,44.18849931628812,18.070012487191367,1,1,1
10,10,sub-0079_ses-01_run-01-vicarious_ev-cue-0010,79,1,1,vicarious,cue,10,331.0867099761963,1,1,True,high_cue,med_stim,2.070030653041098,6.92508173839268,-1,-1,1
11,11,sub-0079_ses-01_run-01-vicarious_ev-cue-0011,79,1,1,vicarious,cue,11,369.5851299762726,1,1,True,high_cue,med_stim,2.070030653041098,6.92508173839268,-1,-1,1
12,12,sub-0079_ses-01_run-01-vicarious_ev-stim-0000,79,1,1,vicarious,stim,0,18.774420022964478,5,1,True,high_cue,low_stim,16.56320385763326,10.140793146112792,-1,1,1
13,13,sub-0079_ses-01_run-01-vicarious_ev-stim-0001,79,1,1,vicarious,stim,1,51.7746000289917,5,1,True,low_cue,med_stim,16.56320385763326,10.140793146112792,-1,1,1
14,14,sub-0079_ses-01_run-01-vicarious_ev-stim-0002,79,1,1,vicarious,stim,2,75.87438011169434,5,1,True,high_cue,low_stim,39.96263149796852,24.614873072105123,-1,-1,1
15,15,sub-0079_ses-01_run-01-vicarious_ev-stim-0003,79,1,1,vicarious,stim,3,107.97448015213013,5,1,True,low_cue,med_stim,39.96263149796852,24.614873072105123,-1,-1,1
16,16,sub-0079_ses-01_run-01-vicarious_ev-stim-0004,79,1,1,vicarious,stim,4,134.57843017578125,5,1,True,high_cue,high_stim,55.29031545728121,9.2726017772003,1,1,1
17,17,sub-0079_ses-01_run-01-vicarious_ev-stim-0005,79,1,1,vicarious,stim,5,163.673730134964,5,1,True,low_cue,low_stim,55.29031545728121,9.2726017772003,1,1,1
18,18,sub-0079_ses-01_run-01-vicarious_ev-stim-0006,79,1,1,vicarious,stim,6,201.87327003479004,5,1,True,low_cue,high_stim,12.528807709151511,6.669619842312335,-1,1,1
19,19,sub-0079_ses-01_run-01-vicarious_ev-stim-0007,79,1,1,vicarious,stim,7,234.1739501953125,5,1,True,low_cue,low_stim,12.528807709151511,6.669619842312335,-1,1,1
20,20,sub-0079_ses-01_run-01-vicarious_ev-stim-0008,79,1,1,vicarious,stim,8,279.77396988868713,5,1,True,high_cue,high_stim,9.23555909316592,9.500241315337306,1,0,-2
21,21,sub-0079_ses-01_run-01-vicarious_ev-stim-0009,79,1,1,vicarious,stim,9,306.0736300945282,5,1,True,low_cue,high_stim,9.23555909316592,9.500241315337306,1,0,-2
22,22,sub-0079_ses-01_run-01-vicarious_ev-stim-0010,79,1,1,vicarious,stim,10,344.77343010902405,5,1,True,high_cue,med_stim,3.6913859864512752,9.91494567847495,1,0,-2
23,23,sub-0079_ses-01_run-01-vicarious_ev-stim-0011,79,1,1,vicarious,stim,11,386.57352018356323,5,1,True,high_cue,med_stim,3.6913859864512752,9.91494567847495,1,0,-2
